,Unnamed: 0,ticker,one_yr_return,expense_ratio,aum,dividend_yield,fundname,esg_rating,quality_score,score_peer_rank,score_global_rank,carbon_intensity,sustainable_impact_exposure,sri_screening_criteria_exposure,analyst_pick,grade,efficiency,tradability,fit,segment,one_mo_p_percent,three_mo_p_percent,ytd_p_percent,one_yr_p_percent,three_yr_p_percent,five_yr_p_percent,ten_yr_p_percent,one_mo,three_mo,ytd,one_yr,three_yr,as_of_date,investment_strategy,asset_class,asset_region,subsegment
723,723,JHEM,9.05,0.49,681250000.0,3.19,John Hancock Multifactor Emerging Markets ETF,BBB,5.62,32.26,32.96,382.84,,3.92,True,B,92.0,53.0,88.0,Equity: Emerging Markets  -  Total Market,5.09,9.1,11.5,9.05,4.09,,,-2530000.0,-48890000.0,-48830000.0,4320000.0,-31220000.0,2023-07-25,standard,equity,emerg_markets,total_market
724,724,BUG,-5.35,0.51,676230000.0,0.34,Global X Cybersecurity ETF,A,6.1,41.76,37.88,8.88,,,True,,,92.0,,Equity: Global Cybersecurity,3.85,14.79,18.17,-5.35,6.24,,,-82370000.0,-75880000.0,-267460000.0,-318370000.0,953590000.0,2023-07-25,standard,equity,global,not_specified
725,725,REZ,-5.44,0.48,676090000.0,3.68,iShares Residential and Multisector Real Estate ETF,BBB,4.99,24.1,8.99,60.25,,,True,B,87.0,93.0,,Equity: U.S. Real Estate,7.55,7.25,11.11,-5.44,11.27,6.8,7.36,-60000.0,3520000.0,-35540000.0,-169790000.0,298350000.0,2023-07-25,standard,equity,us,not_specified
726,726,BNDW,-1.84,0.05,676070000.0,,Vanguard Total World Bond ETF,A,6.26,45.35,61.32,207.03,,1.9,True,,,,,"Fixed Income: Global - Broad Market, Broad-based Investment Grade",-0.09,-0.71,2.99,-1.84,-3.96,,,19780000.0,51350000.0,80850000.0,100950000.0,345340000.0,2023-07-25,standard,fixed_income,global,broad_based
727,727,SPHB,23.88,0.25,675900000.0,1.24,Invesco S&P 500 High Beta ETF,A,6.31,46.58,11.22,127.28,,3.35,True,A,88.0,100.0,49.0,Equity: U.S.  -  Large Cap,7.91,20.47,26.95,23.88,25.51,13.69,13.17,54680000.0,-20020000.0,135240000.0,167840000.0,212080000.0,2023-07-25,standard,equity,us,large_cap
728,728,PCEF,3.34,1.99,675000000.0,,Invesco CEF Income Composite ETF,A,,,,,,,True,,,,,Asset Allocation: Global - Target Outcome,2.91,5.31,6.69,3.34,4.76,3.47,5.07,-1230000.0,970000.0,5290000.0,-2410000.0,16710000.0,2023-07-25,standard,asset_allocation,global,other
729,729,AOK,3.73,0.15,670130000.0,,iShares Core Conservative Allocation ETF,A,6.25,45.06,44.34,196.34,,4.42,True,,92.0,,,Asset Allocation: Global - Target Risk,1.59,2.14,6.96,3.73,0.58,3.04,3.62,-15910000.0,-26270000.0,-278490000.0,-285670000.0,20160000.0,2023-07-25,standard,asset_allocation,global,other
730,730,PFM,12.3,0.53,668910000.0,2.34,Invesco Dividend Achievers ETF,A,6.87,66.29,66.14,160.68,,7.56,True,B,87.0,94.0,70.0,Equity: U.S.  -  Total Market,5.12,7.19,8.39,12.3,12.19,10.38,9.83,-17350000.0,-43400000.0,-82790000.0,-85290000.0,144630000.0,2023-07-25,standard,equity,us,total_market
731,731,PAPR,12.61,0.79,667980000.0,,Innovator U.S. Equity Power Buffer ETF - April,,,,,,,,True,,74.0,,,Equity: U.S.  -  Large Cap,2.23,6.54,11.36,12.61,5.9,,,-50400000.0,-1710000.0,308780000.0,286320000.0,374810000.0,2023-07-25,standard,equity,us,large_cap
732,732,FXG,4.65,0.63,667300000.0,1.82,First Trust Consumer Staples AlphaDEX Fund,A,7.05,73.39,56.0,102.93,,8.5,True,B,84.0,98.0,,Equity: U.S. Consumer Staples,4.78,3.05,3.41,4.65,11.64,8.53,8.72,-31390000.0,-34140000.0,-68040000.0,13910000.0,345470000.0,2023-07-25,standard,equity,us,not_specified
733,733,IEO,18.9,0.39,667270000.0,3.93,iShares U.S. Oil & Gas Exploration & Production ETF,A,6.86,65.51,67.02,375.02,,,True,A,92.0,99.0,,Equity: U.S. Oil & Gas Exploration & Production,14.63,9.87,1.55,18.9,45.63,7.5,4.3,-290000.0,-82610000.0,-358940000.0,-226450000.0,87220000.0,2023-07-25,standard,equity,us,not_specified
734,734,FM,6.49,0.8,667110000.0,4.15,iShares Frontier and Select EM ETF,,,,,,,,True,C,79.0,70.0,72.0,Equity: Frontier Markets  -  Total Market,8.7,13.12,11.26,6.49,8.18,1.59,2.41,-22080000.0,-101040000.0,37640000.0,285370000.0,242640000.0,2023-07-25,standard,equity,global,total_market
735,735,CFO,0.66,0.36,666500000.0,1.83,VictoryShares U.S. 500 Enhanced Volatility Wtd Index ETF,A,6.65,57.21,39.33,219.93,,7.43,True,C,70.0,94.0,28.0,Equity: U.S.  -  Large Cap,3.65,3.06,-0.28,0.66,8.24,6.38,,-27710000.0,-85790000.0,-161350000.0,-177400000.0,-63510000.0,2023-07-25,standard,equity,us,large_cap
736,736,EQAL,7.92,0.2,664830000.0,2.28,Invesco Russell 1000 Equal Weight ETF,A,6.2,44.02,76.75,291.9,,7.93,True,A,96.0,94.0,63.0,Equity: U.S.  -  Large Cap,7.77,8.83,9.13,7.92,12.56,7.99,,57340000.0,34860000.0,28240000.0,12830000.0,108570000.0,2023-07-25,standard,equity,us,large_cap
737,737,GUSH,2.44,0.99,663910000.0,,Direxion Daily S&P Oil & Gas Exp. & Prod. Bull 2X Shares,BBB,5.57,31.53,23.03,378.79,,,True,,,,,Leveraged Equity: U.S. Oil & Gas Exploration & Production,28.42,20.25,-2.24,2.44,60.78,-60.98,,-31250000.0,-38920000.0,-13540000.0,-142990000.0,-1015230000.0,2023-07-25,leveraged,equity,us,not_specified
738,738,BIZD,14.11,10.92,660720000.0,10.68,VanEck BDC Income ETF,,,,,,,,True,D,58.0,96.0,,Equity: U.S. Asset Management & Custody Banks,8.43,12.23,16.68,14.11,21.87,8.96,6.8,3560000.0,39640000.0,85540000.0,125350000.0,406370000.0,2023-07-25,standard,equity,us,not_specified
739,739,PWB,15.46,0.56,660290000.0,0.85,Invesco Dynamic Large Cap Growth ETF,A,6.72,60.41,57.24,81.09,,,True,B,87.0,87.0,67.0,Equity: U.S.  -  Large Cap Growth,4.71,12.18,20.89,15.46,8.39,9.14,12.83,700000.0,-1630000.0,-12320000.0,-9480000.0,-203650000.0,2023-07-25,standard,equity,us,large_cap
740,740,BSCS,0.65,0.1,659770000.0,,Invesco BulletShares 2028 Corporate Bond ETF,A,6.71,60.01,75.89,206.08,,12.65,True,A,94.0,97.0,,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade Intermediate",0.34,-1.27,2.85,0.65,-2.89,,,23620000.0,85980000.0,220560000.0,398760000.0,565820000.0,2023-07-25,standard,fixed_income,us,corporate
741,741,JVAL,13.28,0.12,659610000.0,2.8,JPMorgan U.S. Value Factor ETF,A,6.55,53.47,27.58,136.07,,6.02,True,A,96.0,95.0,74.0,Equity: U.S.  -  Large Cap Value,6.73,11.77,12.79,13.28,17.04,9.93,,100980000.0,10010000.0,184330000.0,61330000.0,522460000.0,2023-07-25,standard,equity,us,large_cap
742,742,PSI,29.79,0.56,659410000.0,0.89,Invesco Dynamic Semiconductors ETF,A,6.17,43.39,39.19,71.85,,,True,B,87.0,93.0,,Equity: U.S. Semiconductors,8.3,25.55,39.28,29.79,22.84,21.49,24.22,6560000.0,29290000.0,21710000.0,-40440000.0,192720000.0,2023-07-25,standard,equity,us,not_specified
743,743,ECH,33.12,0.58,659190000.0,8.04,iShares MSCI Chile ETF,A,5.76,35.05,86.24,366.1,,4.62,True,B,82.0,77.0,86.0,Equity: Chile  -  Total Market,10.39,18.7,21.11,33.12,10.65,-4.12,-1.99,44060000.0,80280000.0,66080000.0,145190000.0,170890000.0,2023-07-25,standard,equity,america_wo_us,total_market
744,744,PLW,-6.57,0.15,656810000.0,,Invesco 1-30 Laddered Treasury ETF,A,5.72,33.87,19.59,1.6,,,True,A,92.0,95.0,,"Fixed Income: U.S. - Government, Treasury Investment Grade",-1.14,-3.56,2.08,-6.57,-8.86,0.07,1.47,13110000.0,52560000.0,139850000.0,185180000.0,554670000.0,2023-07-25,standard,fixed_income,us,government
745,745,EWH,-6.77,0.5,656090000.0,3.88,iShares MSCI Hong Kong ETF,A,6.69,59.06,100.0,291.42,,13.81,True,,,85.0,93.0,Equity: Hong Kong  -  Total Market,0.94,-2.63,-6.66,-6.77,-0.61,-2.38,3.02,-39210000.0,-77920000.0,-58880000.0,-26130000.0,-656970000.0,2023-07-25,standard,equity,asia_pacific_wo_brics,total_market
746,746,IGRO,13.21,0.15,655480000.0,3.13,iShares International Dividend Growth ETF,AA,7.56,89.19,68.38,130.62,,10.46,True,B,95.0,76.0,73.0,Equity: Global Ex-U.S.  -  Total Market,4.5,3.05,11.67,13.21,8.19,4.92,,15550000.0,33890000.0,116240000.0,189860000.0,546210000.0,2023-07-25,standard,equity,global,total_market
747,747,FRDM,21.62,0.49,653430000.0,4.0,Freedom 100 Emerging Market ETF,A,5.93,37.93,57.38,196.21,,1.97,True,,,78.0,42.0,Equity: Emerging Markets  -  Total Market,6.35,15.51,21.05,21.62,11.71,,,61990000.0,149400000.0,308760000.0,372850000.0,593260000.0,2023-07-25,standard,equity,emerg_markets,total_market
748,748,LTPZ,-7.83,0.2,652910000.0,,PIMCO 15+ Year US TIPS Index ETF,A,5.72,34.34,64.21,,,,True,,71.0,,,"Fixed Income: U.S. - Government, Inflation-linked Investment Grade Long-Term",-0.53,-2.96,4.34,-7.83,-7.91,1.39,2.63,-23320000.0,-29300000.0,7610000.0,78480000.0,425740000.0,2023-07-25,standard,fixed_income,us,government
749,749,XSVM,5.65,0.39,648560000.0,1.52,Invesco S&P SmallCap Value with Momentum ETF,BBB,5.12,25.76,8.58,182.89,,3.01,True,A,91.0,92.0,66.0,Equity: U.S.  -  Small Cap Value,10.74,13.53,8.7,5.65,26.26,10.75,10.31,4210000.0,-31640000.0,-77790000.0,-16720000.0,568620000.0,2023-07-25,standard,equity,us,small_cap
750,750,INDY,12.38,0.89,645620000.0,1.2,iShares India 50 ETF,A,5.83,36.07,83.7,409.03,,9.51,True,F,49.0,70.0,85.0,Equity: India - Large Cap,5.24,10.49,8.98,12.38,14.76,7.1,8.75,20530000.0,14130000.0,16380000.0,37950000.0,-127680000.0,2023-07-25,standard,equity,brics,large_cap
751,751,FLCO,-0.59,0.35,643570000.0,,Franklin Investment Grade Corporate ETF,A,6.23,44.56,24.82,422.62,,13.68,True,B,86.0,66.0,,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade",0.33,-0.94,3.23,-0.59,-4.87,1.32,,-1050000.0,7390000.0,11460000.0,-28990000.0,-51490000.0,2023-07-25,standard,fixed_income,us,corporate
752,752,DVYE,11.83,0.49,643430000.0,12.02,iShares Emerging Markets Dividend ETF,BBB,4.44,8.62,0.41,722.45,,1.01,True,D,61.0,70.0,,Equity: Emerging Markets - High Dividend Yield,6.02,8.38,10.81,11.83,-0.1,-1.95,-0.59,4990000.0,-6280000.0,21290000.0,98620000.0,181750000.0,2023-07-25,standard,equity,emerg_markets,high_dividend_yield
753,753,QGRO,19.83,0.29,643260000.0,0.75,American Century U.S. Quality Growth ETF,A,6.83,64.57,68.99,63.49,,2.66,True,A,90.0,97.0,70.0,Equity: U.S. - Total Market Growth,5.69,13.02,23.05,19.83,12.14,,,49830000.0,179660000.0,277870000.0,356260000.0,339280000.0,2023-07-25,standard,equity,us,total_market
754,754,FIVG,2.77,0.3,641640000.0,1.86,Defiance Next Gen Connectivity ETF,A,7.03,72.38,79.78,42.81,,1.29,True,B,80.0,96.0,,Equity: Global 5G,5.55,13.51,14.25,2.77,7.99,,,-13410000.0,-72770000.0,-127650000.0,-258830000.0,155900000.0,2023-07-25,standard,equity,global,not_specified
755,755,PJAN,14.99,0.79,639720000.0,,Innovator U.S. Equity Power Buffer ETF - January,,,,,,,,True,,74.0,,,Equity: U.S.  -  Large Cap,2.39,7.08,12.73,14.99,7.53,,,-46540000.0,-77180000.0,173410000.0,22980000.0,294550000.0,2023-07-25,standard,equity,us,large_cap
756,756,BULZ,52.54,0.95,637500000.0,,MicroSectors FANG & Innovation 3x Leveraged ETN,,,,,,,,True,,,,,Leveraged Equity: U.S. Big Tech,10.82,110.8,260.4,52.54,,,,,,,110810000.0,847000000.0,2023-07-25,leveraged,equity,us,not_specified
757,757,VRIG,6.23,0.3,636400000.0,,Invesco Variable Rate Investment Grade ETF,A,6.42,49.48,53.88,81.3,,2.19,True,A,88.0,98.0,,"Fixed Income: U.S. - Broad Market, Broad-based Investment Grade Floating Rate",0.76,2.12,4.26,6.23,2.62,2.42,,54960000.0,99690000.0,79940000.0,-2850000.0,253020000.0,2023-07-25,standard,fixed_income,us,broad_based
758,758,QAI,7.02,0.79,634580000.0,,IQ Hedge Multi-Strategy Tracker ETF,A,6.17,43.36,30.69,187.01,,3.75,True,,,,53.0,Alternatives: Hedge Fund Strategies,2.68,3.59,6.5,7.02,0.85,1.34,1.83,-13520000.0,8830000.0,-32040000.0,-100620000.0,-98840000.0,2023-07-25,standard,alternatives,global,not_specified
759,759,AAAU,14.06,0.18,629340000.0,,Goldman Sachs Physical Gold ETF,,,,,,,,True,A,93.0,97.0,,Commodities: Precious Metals Gold,2.34,-1.79,7.63,14.06,0.85,,,-15410000.0,4470000.0,164520000.0,11790000.0,223150000.0,2023-07-25,standard,commodities,global,not_specified
760,760,BSJO,6.12,0.42,627980000.0,,Invesco BulletShares 2024 High Yield Corporate Bond ETF,BBB,4.96,23.83,16.1,162.78,,3.36,True,D,59.0,99.0,,"Fixed Income: U.S. - Corporate, Broad-based High Yield Ultra-Short Term",1.11,2.13,5.13,6.12,2.34,3.12,,35820000.0,53720000.0,118410000.0,145070000.0,502110000.0,2023-07-25,standard,fixed_income,us,corporate
761,761,GIGB,-0.31,0.14,626750000.0,,Goldman Sachs Access Investment Grade Corporate Bond ETF,A,6.67,57.81,92.06,126.68,,11.11,True,,,95.0,,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade",0.25,-1.02,3.81,-0.31,-4.65,1.64,,9000000.0,38470000.0,63760000.0,29890000.0,209930000.0,2023-07-25,standard,fixed_income,us,corporate
762,762,EMGF,5.31,0.25,625040000.0,3.49,iShares Emerging Markets Equity Factor ETF,BBB,5.56,31.43,29.74,256.97,,3.37,True,D,67.0,79.0,79.0,Equity: Emerging Markets  -  Total Market,5.53,9.36,6.64,5.31,3.2,1.27,,-196980000.0,-324400000.0,-165190000.0,-211030000.0,150990000.0,2023-07-25,standard,equity,emerg_markets,total_market
763,763,SPGM,15.91,0.09,624900000.0,2.16,SPDR Portfolio MSCI Global Stock Market ETF,A,6.83,64.71,29.55,133.11,,8.3,True,B,84.0,85.0,96.0,Equity: Global  -  Total Market,5.04,9.86,16.78,15.91,11.52,8.43,9.15,26480000.0,-3440000.0,54460000.0,97270000.0,121980000.0,2023-07-25,standard,equity,global,total_market
764,764,DIV,-7.41,0.45,623880000.0,9.36,Global X SuperDividend U.S. ETF,BBB,4.91,23.05,0.94,292.09,,14.08,True,B,86.0,95.0,,Equity: U.S.  -  High Dividend Yield,6.4,1.84,-5.33,-7.41,10.69,-0.72,2.72,3220000.0,1160000.0,960000.0,1790000.0,174120000.0,2023-07-25,standard,equity,us,high_dividend_yield
765,765,LEMB,13.0,0.3,621210000.0,,iShares J.P. Morgan EM Local Currency Bond ETF,BBB,4.61,16.93,30.83,,,,True,C,74.0,86.0,,"Fixed Income: Emerging Markets - Government, Treasury",1.48,4.7,8.41,13.0,-2.24,-1.27,-1.1,7530000.0,102830000.0,138630000.0,207550000.0,239890000.0,2023-07-25,standard,fixed_income,emerg_markets,government
766,766,XHE,8.05,0.35,621210000.0,0.27,SPDR S&P Health Care Equipment ETF,A,6.41,49.1,45.62,28.56,,,True,A,93.0,95.0,,Equity: U.S. Health Care Equipment & Supplies,1.23,0.47,8.54,8.05,0.98,3.6,12.39,60240000.0,100960000.0,203990000.0,183370000.0,38390000.0,2023-07-25,standard,equity,us,not_specified
767,767,PWZ,2.24,0.28,618540000.0,,Invesco California AMT-Free Municipal Bond ETF,,,,,,,,True,B,88.0,93.0,,"Fixed Income:California Government, Local Authority/Municipal Investment Grade Long-Term",0.56,1.07,4.39,2.24,-1.2,1.7,3.53,2450000.0,39170000.0,36650000.0,11530000.0,244050000.0,2023-07-25,standard,fixed_income,us,other
768,768,CXSE,-16.32,0.32,618230000.0,1.36,WisdomTree China ex-State-Owned Enterprises Fund,BBB,4.91,22.97,55.2,124.67,,0.11,True,,,80.0,,Equity: China  -  Total Market,7.51,3.4,-5.68,-16.32,-13.55,-3.42,4.47,-16210000.0,-45150000.0,-105720000.0,-116530000.0,946760000.0,2023-07-25,standard,equity,brics,total_market
769,769,HAUZ,-4.76,0.1,615370000.0,4.4,Xtrackers International Real Estate ETF,A,6.25,44.96,55.04,79.07,,1.41,True,,,73.0,,Equity: Global Ex-U.S. Real Estate,6.64,2.26,0.48,-4.76,0.14,-2.97,,26190000.0,43970000.0,88270000.0,126690000.0,473890000.0,2023-07-25,standard,equity,global,other
770,770,ROM,48.55,0.95,612910000.0,,ProShares Ultra Technology,AA,7.57,89.69,91.45,22.45,,0.16,True,,,,,Leveraged Equity: U.S. Information Technology,11.23,50.59,105.3,48.55,25.64,26.3,33.93,-45110000.0,-18230000.0,28260000.0,-37430000.0,-317790000.0,2023-07-25,leveraged,equity,us,not_specified
771,771,ISCF,9.37,0.23,612610000.0,3.71,iShares International Small-Cap Equity Factor ETF,A,6.4,48.69,56.03,122.33,,3.56,True,C,81.0,72.0,83.0,Equity: Developed Markets Ex-U.S.  -  Small Cap,5.9,4.3,8.34,9.37,7.25,2.98,,12160000.0,24590000.0,64450000.0,358870000.0,457890000.0,2023-07-25,standard,equity,dev_markets,small_cap
772,772,SRVR,-13.13,0.55,610710000.0,4.43,Pacer Data & Infrastructure Real Estate ETF,AA,8.19,98.62,100.0,158.43,,,True,B,81.0,87.0,,Equity: Developed Markets Specialized REITs,5.31,2.52,3.38,-13.13,-4.8,4.37,,-13150000.0,-97180000.0,-280180000.0,-403130000.0,47150000.0,2023-07-25,standard,equity,dev_markets,not_specified
773,773,EES,9.68,0.38,609710000.0,1.63,WisdomTree U.S. SmallCap Fund,BBB,4.84,22.16,2.7,105.14,,2.64,True,B,90.0,80.0,75.0,Equity: U.S.  -  Small Cap,9.2,14.77,11.68,9.68,19.09,5.13,8.33,,-6610000.0,-89330000.0,-35520000.0,-7300000.0,2023-07-25,standard,equity,us,small_cap
774,774,CLOU,20.49,0.68,607290000.0,0.23,Global X Cloud Computing ETF,A,6.84,65.06,65.83,33.23,,2.02,True,,,96.0,,Equity: Global Information Technology,6.36,24.88,28.38,20.49,-1.29,,,-9660000.0,-26850000.0,-60600000.0,-140940000.0,-314580000.0,2023-07-25,standard,equity,global,not_specified
775,775,IDLV,3.21,0.25,607280000.0,3.49,Invesco S&P International Developed Low Volatility ETF,A,7.07,73.87,15.98,166.49,,5.64,True,D,66.0,71.0,45.0,Equity: Developed Markets Ex-U.S.  -  Total Market,2.69,0.03,6.24,3.21,3.35,0.57,2.93,,-14050000.0,125430000.0,113930000.0,-232310000.0,2023-07-25,standard,equity,dev_markets,total_market
776,776,PJUN,7.41,0.79,604700000.0,,Innovator U.S. Equity Power Buffer ETF - June,,,,,,,,True,,74.0,,,Equity: U.S.  -  Large Cap,2.33,4.96,7.81,7.41,4.06,,,-2410000.0,230800000.0,214000000.0,234990000.0,456940000.0,2023-07-25,standard,equity,us,large_cap
777,777,VIOG,6.93,0.15,604510000.0,1.21,Vanguard S&P Small-Cap 600 Growth ETF,BBB,5.24,27.22,14.26,111.88,,4.14,True,A,96.0,91.0,70.0,Equity: U.S.  -  Small Cap Growth,7.96,13.52,10.8,6.93,12.11,4.98,9.72,34760000.0,41930000.0,68770000.0,99200000.0,193560000.0,2023-07-25,standard,equity,us,small_cap
778,778,EUSB,-1.98,0.12,603350000.0,,iShares ESG Advanced Total USD Bond Market ETF,A,6.45,50.23,82.06,62.29,,0.09,True,,,89.0,,"Fixed Income: U.S. - Broad Market, Broad-based",-0.07,-1.4,2.23,-1.98,-4.08,,,16990000.0,25570000.0,-186590000.0,-187070000.0,689630000.0,2023-07-25,standard,fixed_income,us,broad_based
779,779,IBDU,0.31,0.1,601790000.0,,iShares iBonds Dec 2029 Term Corporate ETF,A,6.61,55.59,63.48,234.46,,10.04,True,,,95.0,,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade Intermediate",0.46,-1.5,3.32,0.31,-3.6,,,14520000.0,86760000.0,278890000.0,318220000.0,572440000.0,2023-07-25,standard,fixed_income,us,corporate
780,780,VNM,-0.1,0.66,601720000.0,2.7,VanEck Vietnam ETF,,,,,,,,True,D,63.0,84.0,,Equity: Vietnam  -  Total Market,6.5,23.56,21.79,-0.1,1.42,-1.58,-0.94,14510000.0,-260000.0,87400000.0,208630000.0,205360000.0,2023-07-25,standard,equity,asia_pacific_wo_brics,total_market
781,781,DJP,-5.48,0.7,601240000.0,,iPath Bloomberg Commodity Index Total Return ETN,,,,,,,,True,C,62.0,98.0,50.0,Commodities: Broad Market,7.33,5.48,-1.78,-5.48,21.06,6.93,-1.25,-13140000.0,-102670000.0,-156080000.0,-263670000.0,-195860000.0,2023-07-25,standard,commodities,global,not_specified
782,782,DNL,15.56,0.42,599850000.0,2.31,WisdomTree Global ex-U.S. Quality Dividend Growth Fund,AA,7.79,93.61,82.65,123.31,,10.12,True,B,83.0,83.0,64.0,Equity: Global Ex-U.S.  -  Total Market,3.06,3.11,13.9,15.56,6.35,6.9,6.45,10700000.0,46490000.0,161930000.0,100910000.0,437430000.0,2023-07-25,standard,equity,global,total_market
783,783,IHAK,5.01,0.47,599390000.0,0.46,iShares Cybersecurity and Tech ETF,A,6.08,41.16,36.9,9.09,,10.95,True,B,86.0,94.0,,Equity: Global Cybersecurity,5.36,15.29,16.82,5.01,6.53,,,20020000.0,18300000.0,28560000.0,35040000.0,500720000.0,2023-07-25,standard,equity,global,not_specified
784,784,BSJN,5.13,0.42,596700000.0,,Invesco BulletShares 2023 High Yield Corporate Bond ETF,BBB,5.7,33.47,90.7,114.79,,3.08,True,B,82.0,98.0,,"Fixed Income: U.S. - Corporate, Broad-based High Yield Ultra-Short Term",0.45,1.15,3.75,5.13,2.56,2.63,,-30560000.0,-105820000.0,-136370000.0,-99130000.0,266940000.0,2023-07-25,standard,fixed_income,us,corporate
785,785,PNQI,28.15,0.6,596270000.0,0.12,Invesco NASDAQ Internet ETF,A,5.84,36.24,31.66,13.93,,9.39,True,B,85.0,99.0,,Equity: U.S. Internet,5.4,21.67,45.09,28.15,-4.1,2.3,11.6,-6640000.0,-19450000.0,-21830000.0,-44550000.0,-52360000.0,2023-07-25,standard,equity,us,not_specified
786,786,REMX,-3.87,0.54,594280000.0,0.88,VanEck Rare Earth/Strategic Metals ETF,BBB,5.36,28.79,32.79,367.3,,,True,,,78.0,,Equity: Global Diversified Metals & Mining,1.99,7.81,8.98,-3.87,30.92,8.35,-0.62,100000.0,-42020000.0,-83980000.0,-130500000.0,295750000.0,2023-07-25,standard,equity,global,not_specified
787,787,DWM,17.79,0.48,594280000.0,4.48,WisdomTree International Equity Fund,AA,7.5,87.82,49.43,144.8,,13.3,True,,,80.0,84.0,Equity: Developed Markets Ex-North America  -  Total Market,4.86,3.4,12.78,17.79,8.44,2.8,4.21,7360000.0,7290000.0,2250000.0,-32180000.0,-49290000.0,2023-07-25,standard,equity,dev_markets,total_market
788,788,PFFA,0.51,1.4,593280000.0,,Virtus InfraCap U.S. Preferred Stock ETF,BB,3.64,4.56,0.47,147.36,,1.92,True,,,,,"Leveraged Fixed Income: U.S. - Corporate, Preferred",5.55,8.12,15.47,0.51,11.76,4.01,,19470000.0,43620000.0,91180000.0,113030000.0,555650000.0,2023-07-25,leveraged,fixed_income,us,corporate
789,789,PREF,0.58,0.55,588840000.0,,Principal Spectrum Preferred Securities Active ETF,A,6.7,59.52,87.74,414.51,,10.3,True,,82.0,,,"Fixed Income: Global - Corporate, Preferred",1.8,1.88,2.36,0.58,-0.47,2.52,,15210000.0,28650000.0,133690000.0,244150000.0,508880000.0,2023-07-25,standard,fixed_income,global,corporate
790,790,BUFD,10.02,1.05,586320000.0,,FT Cboe Vest Fund of Deep Buffer ETFs,,,,,,,,True,,69.0,,,Equity: U.S.  -  Large Cap,2.82,7.32,11.08,10.02,,,,24890000.0,62360000.0,17460000.0,40420000.0,559960000.0,2023-07-25,standard,equity,us,large_cap
791,791,UYG,6.6,0.95,585720000.0,,ProShares Ultra Financials,A,5.98,38.88,36.84,39.57,,9.72,True,,,,,Leveraged Equity: U.S. Financials,15.77,16.22,9.98,6.6,20.05,4.39,12.45,-2360000.0,-15440000.0,-21320000.0,-38700000.0,-179080000.0,2023-07-25,leveraged,equity,us,not_specified
792,792,GSST,3.98,0.16,584960000.0,,Goldman Sachs Access Ultra Short Bond ETF,A,6.57,54.22,64.08,102.59,,2.08,True,A,92.0,100.0,,"Fixed Income: U.S. - Broad Market, Broad-based Investment Grade Ultra-Short Term",0.45,1.09,3.02,3.98,1.31,,,-3800000.0,59750000.0,54600000.0,66960000.0,463410000.0,2023-07-25,standard,fixed_income,us,broad_based
793,793,IGE,16.57,0.4,584770000.0,3.69,iShares North American Natural Resources ETF,A,6.59,54.68,40.43,445.13,,2.42,True,A,91.0,99.0,,Equity: North America Natural Resources,10.91,4.94,2.7,16.57,26.58,6.09,2.95,-41410000.0,-216140000.0,-310020000.0,-340020000.0,-67320000.0,2023-07-25,standard,equity,america_wo_us,not_specified
794,794,PAUG,9.63,0.79,584210000.0,,Innovator U.S. Equity Power Buffer ETF - August,,,,,,,,True,,74.0,,,Equity: U.S.  -  Large Cap,4.88,9.07,12.87,9.63,6.75,,,-55280000.0,18350000.0,59320000.0,354470000.0,467460000.0,2023-07-25,standard,equity,us,large_cap
795,795,ACIO,8.6,0.79,582220000.0,1.56,Aptus Collared Investment Opportunity ETF,A,6.62,55.84,60.75,159.6,,10.87,True,B,77.0,93.0,64.0,Equity: U.S.  -  Large Cap,3.67,6.21,10.66,8.6,8.32,,,-23140000.0,-33650000.0,850000.0,91560000.0,402310000.0,2023-07-25,standard,equity,us,large_cap
796,796,FXZ,17.22,0.61,580400000.0,2.28,First Trust Materials AlphaDEX Fund,A,6.17,43.42,48.36,560.2,,5.12,True,B,85.0,97.0,,Equity: U.S. Materials,9.69,9.42,12.27,17.22,24.37,11.31,10.79,-41930000.0,-1074220000.0,-866730000.0,-987690000.0,521190000.0,2023-07-25,standard,equity,us,not_specified
797,797,NYF,2.39,0.25,580140000.0,,iShares New York Muni Bond ETF,,,,,,,,True,A,91.0,94.0,,"Fixed Income: New York Government, Local Authority/Municipal Investment Grade",0.3,0.4,3.14,2.39,-0.73,1.6,2.78,-29120000.0,26630000.0,23850000.0,52680000.0,159710000.0,2023-07-25,standard,fixed_income,us,not_specified
798,798,KOKU,17.05,0.09,575980000.0,1.98,Xtrackers MSCI Kokusai Equity ETF,A,6.94,68.89,37.51,127.43,,9.89,True,B,98.0,51.0,97.0,Equity: Developed Markets Ex-Japan  -  Total Market,5.14,10.09,13.43,17.05,12.48,,,,-3790000.0,-3790000.0,-3790000.0,240850000.0,2023-07-25,standard,equity,dev_markets,total_market
799,799,IBMM,0.32,0.18,575440000.0,,iShares iBonds Dec 2024 Term Muni Bond ETF,,,,,,,,True,A,95.0,99.0,,"Fixed Income: U.S. - Government, Local Authority/Municipal Investment Grade Ultra-Short-Term",0.19,0.45,0.97,0.32,-0.61,1.74,,7740000.0,-30830000.0,2760000.0,168520000.0,441420000.0,2023-07-25,standard,fixed_income,us,government
